MOB,ID,customer_id,Var1,Var4,Var5,Var6,Var7,Var15,Var16,Var24,Var29,Var30,Var3,Var11,Var12,Var14,target,Var27,Var28,income,loan_desc,Var8_q,Var25_q,Var26_q,Var20_1,Var21_1,Var22_1,Var23_1,Var17_1,working_months_1,ii_ratio,idi_ratio
9,11034977,32537148,1,0,9,1,0,0,0,0,0,0,1.0,4,8.0,1,0.0,0,0,1,3,10.0,3.0,0.0,1,1,1,1,2,2,0,0
9,11034978,32761663,1,3,9,1,0,4,4,0,0,0,1.0,2,8.0,3,0.0,0,0,0,1,0.0,3.0,0.0,0,0,0,0,0,5,0,1
9,11034979,32701063,2,0,2,1,0,0,0,0,0,0,1.0,4,4.0,1,0.0,0,0,5,5,10.0,3.0,0.0,1,1,1,1,5,9,0,3
9,11034980,32386786,3,3,4,6,9,0,0,0,0,0,1.0,4,4.0,1,0.0,0,0,1,1,0.0,1.0,0.0,0,0,0,0,1,9,9,9
9,11034982,32861919,1,0,4,1,0,1,1,0,0,0,1.0,4,8.0,0,0.0,0,0,0,4,10.0,0.0,10.0,0,1,1,1,0,0,0,2
9,11034984,32871226,1,3,4,1,2,0,1,0,0,0,1.0,4,8.0,1,0.0,0,0,1,1,0.0,3.0,0.0,0,0,0,0,0,7,6,3
9,11034986,32381161,2,0,4,1,1,2,2,0,0,0,1.0,4,4.0,1,0.0,0,0,1,1,0.0,0.0,10.0,0,1,1,1,1,8,3,6
9,11034987,32511006,1,0,9,1,0,1,1,0,0,0,1.0,4,8.0,3,0.0,0,0,1,1,0.0,0.0,0.0,1,1,1,1,1,1,0,1
9,11034988,32649332,2,3,4,1,1,0,0,0,0,0,1.0,4,2.0,3,0.0,0,0,1,3,10.0,0.0,0.0,0,1,1,1,2,2,0,9
9,11034989,32451570,2,3,7,1,0,2,2,0,0,0,1.0,4,4.0,0,0.0,0,0,1,1,0.0,0.0,0.0,1,1,1,2,1,1,0,0
9,11034990,32557636,2,3,7,1,1,1,1,0,0,0,1.0,2,4.0,1,0.0,0,0,1,1,0.0,10.0,10.0,0,1,1,1,2,4,0,6
9,11034991,32863656,1,3,7,1,0,0,0,0,0,0,1.0,4,8.0,1,0.0,0,0,0,1,0.0,0.0,10.0,0,0,1,1,0,7,0,1
9,11034992,32440325,1,0,2,1,3,1,1,0,0,0,1.0,4,8.0,3,0.0,0,0,1,4,10.0,1.0,0.0,0,1,1,1,1,9,3,3
9,11034993,32558790,1,0,0,1,3,0,0,0,0,0,1.0,4,8.0,3,0.0,0,0,1,5,10.0,3.0,7.0,0,0,0,0,2,1,3,2
9,11034994,32589168,2,3,7,6,8,2,3,0,0,0,1.0,4,4.0,3,0.0,0,0,1,1,0.0,1.0,10.0,0,1,2,3,2,3,6,9
